"geneid","strand","fiveprime","threeprime"
"PITG_14314","-",9342,31358
"PITG_14315","+",9342,22409
"PITG_14319","-",9832,22409
"PITG_14322","+",9832,8381
"PITG_14325","+",8381,29279
"PITG_14326","-",474,29279
"PITG_14327","+",474,715
"PITG_14328","-",19619,715
"PITG_14330","+",19619,122
"PITG_14331","-",49,122
"PITG_01131","+",38381,33237
"PITG_14332","+",49,27385
"PITG_14334","+",27385,53
"PITG_14335","-",49,53
"PITG_14336","+",49,25
"PITG_14338","-",998,4777
"PITG_14337","+",25,4777
"PITG_14343","-",3293,11058
"PITG_14339","+",998,11058
"PITG_14344","+",3293,13760
"PITG_01132","+",33237,15673
"PITG_14346","+",13760,13630
"PITG_14349","-",7368,6438
"PITG_14348","+",13630,6438
"PITG_14351","+",7368,661
"PITG_14352","+",661,5852
"PITG_14354","-",2651,13
"PITG_14353","+",5852,13
"PITG_14355","-",149,2651
"PITG_14356","-",9687,149
"PITG_14357","+",9687,256
"PITG_01133","+",15673,23
"PITG_01134","-",1767,23
"PITG_14358","+",256,1278
"PITG_14359","+",1278,15400
"PITG_14360","+",15400,25312
"PITG_14362","+",25312,289
"PITG_14363","-",744,289
"PITG_14364","-",2066,744
"PITG_14365","-",3006,2066
"PITG_14366","+",3006,24476
"PITG_14368","+",24476,33106
"PITG_14371","+",33106,11351
"PITG_01135","-",274,1767
"PITG_14374","+",11351,4662
"PITG_14375","-",2062,4662
"PITG_14376","+",2062,3339
"PITG_14377","+",3339,45775
"PITG_14379","+",45775,164
"PITG_14380","+",164,503
"PITG_14381","+",503,1863
"PITG_14382","+",1863,13969
"PITG_14383","+",13969,653
"PITG_14384","-",6736,653
"PITG_14385","+",6736,26246
"PITG_23015","-",3581,5465
"PITG_23014","+",26246,5465
"PITG_23016","-",7193,3581
"PITG_14388","-",232,8081
"PITG_14386","+",7193,8081
"PITG_14389","+",232,123
"PITG_14390","+",123,460
"PITG_14391","-",766,460
"PITG_14392","+",766,416
"PITG_14393","-",5283,416
"PITG_01136","+",274,3044
"PITG_14394","-",23952,5283
"PITG_14396","+",23952,225
"PITG_14398","-",397,158
"PITG_14397","+",225,158
"PITG_14400","-",1080,247
"PITG_14399","+",397,247
"PITG_14401","-",1324,1080
"PITG_14402","+",1324,1375
"PITG_14403","+",1375,289
"PITG_01137","+",3044,895
"PITG_14405","-",394,188
"PITG_14404","+",289,188
"PITG_14406","+",394,2506
"PITG_14407","-",1969,2506
"PITG_14409","-",343,1969
"PITG_14410","+",343,1186
"PITG_14411","+",1186,1614
"PITG_14412","+",1614,217
"PITG_14413","-",379,217
"PITG_14414","-",33,379
"PITG_14415","-",846,33
"PITG_01138","+",895,725
"PITG_14416","-",13469,846
"PITG_14417","+",13469,14034
"PITG_14419","-",2958,6111
"PITG_14418","+",14034,6111
"PITG_14420","+",2958,355
"PITG_14421","-",9853,355
"PITG_14424","+",9853,2593
"PITG_14425","-",13569,2593
"PITG_14428","+",13569,25724
"PITG_01140","-",19805,55140
"PITG_01139","+",725,55140
"PITG_14429","+",25724,495
"PITG_14431","-",6207,53
"PITG_14430","+",495,53
"PITG_14432","-",6169,6207
"PITG_14434","+",6169,959
"PITG_14435","+",959,571
"PITG_14436","+",571,3172
"PITG_14437","+",3172,3526
"PITG_23018","+",3526,494
"PITG_23017","+",3526,494
"PITG_14439","+",494,212
"PITG_14440","+",212,3377
"PITG_14441","+",3377,395
"PITG_14442","+",395,1393
"PITG_14443","+",1393,34634
"PITG_14444","+",34634,19521
"PITG_14445","+",19521,6647
"PITG_14448","+",6647,32760
"PITG_14449","+",32760,1845
"PITG_14450","-",953,1845
"PITG_14451","-",1660,953
"PITG_14452","-",2095,1660
"PITG_01142","+",19805,267
"PITG_14453","-",2181,2095
"PITG_14454","-",35626,2181
"PITG_14455","-",305,35626
"PITG_14456","-",34708,305
"PITG_14459","-",440,211
"PITG_14458","+",34708,211
"PITG_14460","-",728,440
"PITG_14462","-",220,342
"PITG_14461","+",728,342
"PITG_01143","+",267,282
"PITG_01144","-",20982,282
"PITG_14463","+",220,14913
"PITG_14466","-",149,264
"PITG_14465","+",14913,264
"PITG_14468","-",1885,469
"PITG_14467","+",149,469
"PITG_14469","-",10168,1885
"PITG_14471","+",10168,515
"PITG_14472","+",515,554
"PITG_14474","-",523,185
"PITG_14473","+",554,185
"PITG_14475","+",523,1720
"PITG_14476","+",1720,77
"PITG_14478","-",429,4139
"PITG_14477","+",77,4139
"PITG_14479","+",429,2625
"PITG_14480","-",259,2625
"PITG_14482","-",15760,658
"PITG_14481","+",259,658
"PITG_14484","-",292,283
"PITG_14483","+",15760,283
"PITG_00113","+",264,1204
"PITG_22673","+",20982,19987
"PITG_14485","+",292,1263
"PITG_14486","-",6833,1263
"PITG_14487","-",2353,6833
"PITG_14488","+",2353,20319
"PITG_14489","+",20319,1282
"PITG_14490","+",1282,1847
"PITG_14491","+",1847,164
"PITG_14492","-",5112,164
"PITG_14493","+",5112,651
"PITG_14494","+",651,37962
"PITG_01145","+",19987,108
"PITG_14496","+",37962,202
"PITG_14497","+",202,69
"PITG_14498","-",1808,69
"PITG_14499","-",3342,1808
"PITG_14500","-",6538,3342
"PITG_14502","-",16993,6538
"PITG_14504","+",16993,643
"PITG_14505","+",643,8692
"PITG_14506","+",8692,12084
"PITG_14509","+",12084,9787
"PITG_01146","+",108,14440
"PITG_14513","+",9787,3286
"PITG_14514","-",32288,3286
"PITG_14515","-",28401,32288
"PITG_14516","+",28401,9151
"PITG_14518","+",9151,9509
"PITG_14519","+",9509,119
"PITG_14520","+",119,5538
"PITG_23019","-",35276,5538
"PITG_23020","+",35276,2602
"PITG_14523","+",2602,1529
"PITG_01149","-",15070,43755
"PITG_01147","+",14440,43755
"PITG_14524","+",1529,1679
"PITG_14525","+",1679,1579
"PITG_14526","+",1579,1571
"PITG_14527","+",1571,1863
"PITG_14528","+",1863,1263
"PITG_14529","+",1263,687
"PITG_14530","-",1205,687
"PITG_14531","+",1205,515
"PITG_14532","+",515,2476
"PITG_14534","-",7667,23449
"PITG_14533","+",2476,23449
"PITG_01151","-",490,15070
"PITG_14536","-",32541,7667
"PITG_14537","+",32541,4232
"PITG_14538","+",4232,6375
"PITG_14539","+",6375,6305
"PITG_14541","-",2414,6305
"PITG_14543","-",54037,2414
"PITG_14546","-",48511,54037
"PITG_14547","+",48511,8073
"PITG_21593","+",NA,18771
"PITG_01152","-",2148,490
"PITG_23204","+",18771,234
"PITG_23205","+",234,82
"PITG_21595","-",562,82
"PITG_21596","+",562,41
"PITG_21597","-",331,41
"PITG_21598","+",331,279
"PITG_21599","-",781,279
"PITG_21601","-",382,65
"PITG_21600","+",781,65
"PITG_01153","-",172,2148
"PITG_21423","-",NA,13500
"PITG_21422","+",NA,13500
"PITG_21667","-",256,660
"PITG_21668","-",NA,256
"PITG_15171","+",NA,77
"PITG_15172","+",77,1531
"PITG_15174","-",13628,45109
"PITG_15173","+",1531,45109
"PITG_15175","-",1656,13628
"PITG_15176","-",32852,1656
"PITG_15177","+",32852,19165
"PITG_01154","-",678,172
"PITG_15178","+",19165,19925
"PITG_15180","-",58800,31844
"PITG_15179","+",19925,31844
"PITG_15186","+",58800,8721
"PITG_15187","+",8721,28142
"PITG_23040","+",28142,5339
"PITG_23275","-",1857,5339
"PITG_15190","+",1857,14984
"PITG_15191","-",12277,14984
"PITG_15193","-",18323,12277
"PITG_15194","+",18323,1695
"PITG_15195","-",1418,1695
"PITG_15196","-",1082,1418
"PITG_15197","-",13210,1082
"PITG_15201","-",2009,7382
"PITG_15199","+",13210,7382
"PITG_15202","-",34852,2009
"PITG_15207","-",48032,34852
"PITG_15212","+",48032,906
"PITG_15213","-",3127,906
"PITG_15214","-",2155,3127
"PITG_01155","+",678,108
"PITG_01156","-",62085,108
"PITG_15215","-",1131,2155
"PITG_15216","+",1131,308
"PITG_15217","-",3682,308
"PITG_15218","-",28049,3682
"PITG_15223","-",24431,4359
"PITG_15222","+",28049,4359
"PITG_15225","+",24431,43614
"PITG_15226","-",2339,43614
"PITG_15227","-",72,2339
"PITG_15228","-",459,72
"PITG_00114","+",1204,1716
"PITG_01157","-",624,62085
"PITG_15230","-",22025,990
"PITG_15229","+",459,990
"PITG_15235","+",22025,1042
"PITG_15236","-",6048,1042
"PITG_15237","+",6048,21151
"PITG_23042","-",1167,349
"PITG_15238","+",21151,349
"PITG_15239","+",1167,9563
"PITG_15241","-",2924,986
"PITG_15240","+",9563,986
"PITG_15242","-",429,2924
"PITG_15243","-",1303,429
"PITG_15244","+",1303,10509
"PITG_15246","-",24952,10509
"PITG_15247","-",368,24952
"PITG_15248","+",368,541
"PITG_15249","+",541,468
"PITG_15250","-",532,468
"PITG_15252","-",6037,532
"PITG_15251","+",532,6037
"PITG_01158","+",624,27875
"PITG_15253","+",6037,397
"PITG_15254","-",9010,397
"PITG_15255","-",7121,9010
"PITG_15256","-",3459,7121
"PITG_15257","+",3459,656
"PITG_15258","+",656,21
"PITG_15259","-",2228,21
"PITG_15260","+",2228,2610
"PITG_15261","+",2610,921
"PITG_15262","-",1721,921
"PITG_15263","-",1361,1721
"PITG_06704","-",412,40
"PITG_06703","+",NA,40
"PITG_15264","-",810,1361
"PITG_15265","-",9435,810
"PITG_15268","-",414,456
"PITG_15267","+",9435,456
"PITG_15269","+",414,15
"PITG_15271","-",39763,27718
"PITG_15270","+",15,27718
"PITG_15276","+",39763,1357
"PITG_15277","+",1357,30344
"PITG_15278","+",30344,1468
"PITG_15279","+",1468,558
"PITG_15281","-",6048,21
"PITG_15280","+",558,21
"PITG_15282","+",6048,2976
"PITG_15283","-",307,2976
"PITG_15284","-",429,307
"PITG_15285","-",1560,429
"PITG_15286","+",1560,965
"PITG_15287","-",854,965
"PITG_06705","+",412,381
"PITG_23043","-",272,128
"PITG_23044","-",272,128
"PITG_15288","+",854,128
"PITG_15291","-",151,52
"PITG_15290","+",272,52
"PITG_15292","-",439,151
"PITG_15294","-",4269,847
"PITG_15293","+",439,847
"PITG_15295","+",4269,4004
"PITG_23045","+",4004,1604
"PITG_15296","+",1604,15137
"PITG_06706","+",381,85
"PITG_06707","-",550,85
"PITG_15297","+",15137,4798
"PITG_15298","-",4704,4798
"PITG_15299","-",14690,4704
"PITG_15300","+",14690,4356
"PITG_15301","+",4356,27337
"PITG_15303","-",27255,27337
"PITG_15305","-",20880,28654
"PITG_15304","+",27255,28654
"PITG_15307","+",20880,3905
"PITG_15309","-",1323,3905
"PITG_15310","-",13745,1323
"PITG_15311","+",13745,956
"PITG_15312","-",2992,956
"PITG_15313","+",2992,2593
"PITG_15314","-",4728,2593
"PITG_23046","-",3345,4728
"PITG_15315","+",3345,228
"PITG_15316","-",18781,228
"PITG_15318","+",18781,369
"PITG_15319","+",369,385
"PITG_06708","+",550,266
"PITG_15320","+",385,226
"PITG_15322","-",1306,65
"PITG_15321","+",226,65
"PITG_15323","-",59913,1306
"PITG_15327","-",514,59913
"PITG_15328","+",514,7655
"PITG_15329","+",7655,9774
"PITG_15330","+",9774,1754
"PITG_15331","+",1754,32047
"PITG_23047","-",24026,32047
"PITG_06709","+",266,239
"PITG_15335","-",5005,10314
"PITG_15334","+",24026,10314
"PITG_15336","-",1994,5005
"PITG_15337","+",1994,48800
"PITG_15341","+",48800,3917
"PITG_15342","+",3917,353
"PITG_15343","-",5981,353
"PITG_15344","-",11898,5981
"PITG_23048","+",11898,27125
"PITG_15346","+",27125,30104
"PITG_00115","+",1716,468
"PITG_06710","+",239,1775
"PITG_06711","-",807,1775
"PITG_15349","-",21762,251
"PITG_15348","+",30104,251
"PITG_15351","-",20522,21762
"PITG_15353","+",20522,14383
"PITG_15354","+",14383,19716
"PITG_15355","+",19716,75
"PITG_21717","+",NA,1491
"PITG_22499","-",NA,263
"PITG_06712","-",46762,807
"PITG_21223","-",2390,510
"PITG_21222","+",NA,510
"PITG_21415","-",NA,38193
"PITG_14549","+",NA,63
"PITG_14550","+",63,16
"PITG_14551","-",74947,16
"PITG_14552","+",74947,49583
"PITG_14553","+",49583,157
"PITG_14554","+",157,47848
"PITG_23021","+",47848,10361
"PITG_06713","-",1273,46762
"PITG_14557","+",10361,54
"PITG_23022","-",2125,28535
"PITG_14558","+",54,28535
"PITG_23023","+",2125,9618
"PITG_14560","+",9618,746
"PITG_14561","+",746,240
"PITG_14562","+",240,103
"PITG_14563","-",425,103
"PITG_14564","-",318,425
"PITG_14565","-",109,318
"PITG_14566","-",279,109
"PITG_14567","+",279,578
"PITG_14570","-",355,7636
"PITG_14568","+",578,7636
"PITG_14571","+",355,1288
"PITG_14573","-",936,91
"PITG_14572","+",1288,91
"PITG_14574","+",936,117
"PITG_14575","-",80,117
"PITG_14576","+",80,518
"PITG_06714","+",1273,228
"PITG_06715","-",242,228
"PITG_14577","+",518,137
"PITG_14578","-",122,137
"PITG_14579","+",122,950
"PITG_14580","+",950,2841
"PITG_14582","-",942,2778
"PITG_14581","+",2841,2778
"PITG_14583","+",942,615
"PITG_14584","-",807,615
"PITG_14585","+",807,395
"PITG_14586","+",395,1023
"PITG_14587","-",128,1023
"PITG_06716","-",6017,242
"PITG_14588","+",128,3
"PITG_14589","-",235,3
"PITG_14590","-",131,235
"PITG_14592","-",228,11
"PITG_14591","+",131,11
"PITG_14593","+",228,345
"PITG_14594","-",277,345
"PITG_14596","-",541,411
"PITG_14595","+",277,411
"PITG_14597","-",3364,541
"PITG_14598","-",157,3364
"PITG_14599","+",157,532
"PITG_14600","-",82,532
"PITG_14601","-",239,82
"PITG_14602","-",374,239
"PITG_14603","+",374,53
"PITG_14604","-",1183,53
"PITG_14606","-",1019,278
"PITG_14605","+",1183,278
"PITG_14607","-",141,1019
"PITG_22807","+",6017,498
"PITG_14608","-",181,141
"PITG_14609","+",181,114
"PITG_14610","-",314,114
"PITG_14612","-",120,314
"PITG_14611","+",314,120
"PITG_14614","-",318,165
"PITG_14613","+",120,165
"PITG_14615","+",318,1968
"PITG_14616","+",1968,124
"PITG_14617","+",124,31867
"PITG_06717","+",498,9467
"PITG_06718","-",946,9467
"PITG_14619","+",31867,185
"PITG_14621","-",105,37
"PITG_14620","+",185,37
"PITG_14622","-",116,105
"PITG_14623","+",116,110
"PITG_14624","-",325,110
"PITG_14626","-",80026,263
"PITG_14625","+",325,263
"PITG_14632","+",80026,2897
"PITG_14633","-",527,2897
"PITG_14635","-",36,527
"PITG_14634","+",527,36
"PITG_14636","-",140,36
"PITG_14638","-",440,29
"PITG_14637","+",140,29
"PITG_14639","-",443,440
"PITG_14640","-",159,443
"PITG_14642","-",442,147
"PITG_14641","+",159,147
"PITG_14643","-",1095,442
"PITG_14644","-",27670,1095
"PITG_14645","-",67636,27670
"PITG_00116","+",468,182
"PITG_06720","-",1253,167
"PITG_06719","+",946,167
"PITG_14650","-",2481,67636
"PITG_14651","-",6245,2481
"PITG_14652","-",2531,6245
"PITG_14653","-",2963,2531
"PITG_14654","-",1401,2963
"PITG_14655","-",3387,1401
"PITG_14656","+",3387,251
"PITG_14658","-",42708,14251
"PITG_14657","+",251,14251
"PITG_14662","+",42708,17897
"PITG_14663","-",19120,17897
"PITG_14665","-",3005,19120
"PITG_23024","+",3005,3192
"PITG_14666","-",2844,3192
"PITG_14667","-",548,2844
"PITG_14669","-",3997,47
"PITG_14668","+",548,47
"PITG_14671","-",988,3997
"PITG_14672","-",19042,988
"PITG_14673","-",42170,19042
"PITG_06721","+",1253,311
"PITG_14674","+",42170,722
"PITG_14675","+",722,292
"PITG_14676","+",292,7375
"PITG_14679","-",1349,7375
"PITG_14680","+",1349,39911
"PITG_14684","-",22205,2416
"PITG_14683","+",39911,2416
"PITG_14685","+",22205,17338
"PITG_14688","+",17338,15460
"PITG_06723","-",183,977
"PITG_06722","+",311,977
"PITG_14690","+",15460,5323
"PITG_14691","-",7686,5323
"PITG_14692","-",16479,7686
"PITG_14696","-",636,986
"PITG_14694","+",16479,986
"PITG_14695","+",986,636
"PITG_14697","+",636,418
"PITG_14698","+",418,1719
"PITG_14699","-",619,1719
"PITG_14700","-",648,619
"PITG_14701","+",648,419
"PITG_06724","-",2246,183
"PITG_14702","+",419,172
"PITG_14703","+",172,258
"PITG_14704","-",44222,258
"PITG_14707","+",44222,94
"PITG_14708","-",506,94
"PITG_14709","-",770,506
"PITG_14710","-",2519,770
"PITG_14711","+",2519,1970
"PITG_14712","+",1970,94
"PITG_14713","-",3130,94
"PITG_14714","-",6623,3130
"PITG_14715","-",1693,6623
"PITG_14716","-",281,1693
"PITG_14717","-",454,281
"PITG_14718","+",454,12454
"PITG_14720","-",4021,12454
"PITG_14721","-",709,4021
"PITG_14722","-",436,709
"PITG_14723","-",113,436
"PITG_14724","+",113,10484
"PITG_06725","+",2246,12
"PITG_06726","-",35,12
"PITG_14726","-",688,10326
"PITG_14725","+",10484,10326
"PITG_14728","-",1129,823
"PITG_14727","+",688,823
"PITG_14729","+",1129,126
"PITG_14730","-",3977,126
"PITG_14731","-",16264,3977
"PITG_14733","-",9157,17159
"PITG_14732","+",16264,17159
"PITG_14735","-",34708,9157
"PITG_14736","-",6328,34708
"PITG_06727","-",684,35
"PITG_14737","-",3062,6328
"PITG_14738","-",3037,3062
"PITG_14739","-",9903,3037
"PITG_14740","-",15337,9903
"PITG_14741","-",70,15337
"PITG_14742","+",70,15802
"PITG_14743","+",15802,453
"PITG_14744","-",2177,453
"PITG_23025","-",22681,2177
"PITG_14746","-",755,22681
"PITG_06728","-",963,684
"PITG_14747","+",755,2114
"PITG_14748","-",230,2114
"PITG_14749","+",230,410
"PITG_14750","-",13471,410
"PITG_14751","+",13471,6132
"PITG_14753","+",6132,17713
"PITG_14756","+",17713,790
"PITG_14757","+",790,5589
"PITG_14758","+",5589,398
"PITG_14759","+",398,70138
"PITG_14761","-",14572,70138
"PITG_14765","-",663,54197
"PITG_14762","+",14572,54197
"PITG_14766","+",663,178
"PITG_14767","+",178,14
"PITG_14768","-",39977,14
"PITG_23026","+",39977,340
"PITG_14770","-",273,340
"PITG_14771","-",13849,273
"PITG_23333","-",4292,13849
"PITG_00117","+",182,350
"PITG_06729","+",963,8
"PITG_14775","-",10423,4292
"PITG_21439","+",NA,5436
"PITG_21440","+",5436,93
"PITG_21441","-",858,93
"PITG_21559","+",NA,1221
"PITG_21268","+",NA,31909
"PITG_21269","-",NA,31909
"PITG_15357","+",NA,63
"PITG_15358","-",1414,63
"PITG_15359","-",32187,1414
"PITG_06730","+",8,125
"PITG_06731","-",440,125
"PITG_15360","+",32187,9541
"PITG_15361","+",9541,27794
"PITG_15365","+",27794,136
"PITG_15366","+",136,823
"PITG_15367","+",823,97
"PITG_15368","+",97,32216
"PITG_15370","+",32216,21104
"PITG_15373","+",21104,69723
"PITG_15374","-",21803,69723
"PITG_15375","-",15737,21803
"PITG_15376","+",15737,244
"PITG_15377","+",244,1520
"PITG_23049","+",1520,518
"PITG_15379","-",1041,37922
"PITG_23050","+",518,37922
"PITG_15380","-",363,1041
"PITG_15381","-",1545,363
"PITG_15382","-",458,1545
"PITG_15383","-",112,458
"PITG_15384","-",239,112
"PITG_06732","+",440,748
"PITG_15385","+",239,25429
"PITG_15387","+",25429,70
"PITG_15388","-",9067,70
"PITG_15389","+",9067,102650
"PITG_15390","-",46609,102650
"PITG_15391","-",989,46609
"PITG_15392","-",918,989
"PITG_15393","+",918,346
"PITG_15395","-",22624,145
"PITG_15394","+",346,145
"PITG_06733","+",748,1023
"PITG_06734","-",954,1023
"PITG_15396","+",22624,1457
"PITG_15397","-",1822,1457
"PITG_15398","+",1822,14771
"PITG_15399","+",14771,14082
"PITG_15402","-",27817,25930
"PITG_15400","+",14082,25930
"PITG_15403","-",24032,27817
"PITG_15404","-",14893,24032
"PITG_15405","+",14893,815
"PITG_15406","+",815,3064
"PITG_15407","+",3064,577
"PITG_15409","-",1018,305
"PITG_15408","+",577,305
"PITG_15410","+",1018,651
"PITG_15411","+",651,25519
"PITG_15413","-",152,25519
"PITG_15415","-",144,80
"PITG_15414","+",152,80
"PITG_15416","+",144,1209
"PITG_15417","-",738,1209
"PITG_06735","+",954,598
"PITG_23051","+",738,728
"PITG_23052","+",728,129
"PITG_15419","-",528,129
"PITG_15420","-",24294,528
"PITG_15421","+",24294,3921
"PITG_15423","+",3921,334
"PITG_15424","-",65066,334
"PITG_15425","+",65066,18200
"PITG_23053","+",18200,2725
"PITG_15428","+",2725,9408
"PITG_06736","+",598,2760
"PITG_15431","-",13185,23077
"PITG_15429","+",9408,23077
"PITG_15434","+",13185,12791
"PITG_23054","-",14665,73
"PITG_15435","+",12791,73
"PITG_15436","-",5329,14665
"PITG_15437","-",7659,5329
"PITG_15438","-",2973,7659
"PITG_15439","-",622,2973
"PITG_15440","-",802,622
"PITG_06737","+",2760,354
"PITG_06738","-",371,354
"PITG_15441","+",802,765
"PITG_15443","-",546,18
"PITG_15442","+",765,18
"PITG_15444","+",546,3256
"PITG_15445","+",3256,462
"PITG_15446","-",1791,462
"PITG_15447","-",3025,1791
"PITG_15448","-",1861,3025
"PITG_15449","-",1544,1861
"PITG_15450","-",195,1544
"PITG_15453","-",1331,10202
"PITG_15451","+",195,10202
"PITG_15455","-",7441,1440
"PITG_15454","+",1331,1440
"PITG_15457","-",21495,7441
"PITG_15459","+",21495,12795
"PITG_15462","+",12795,329
"PITG_15463","-",354,329
"PITG_23276","+",354,2758
"PITG_15466","-",516,2758
"PITG_15467","-",2062,516
"PITG_00118","+",350,254
"PITG_06739","+",371,287
"PITG_06740","-",929,287
"PITG_15468","+",2062,735
"PITG_15469","+",735,588
"PITG_15471","-",1699,567
"PITG_15470","+",588,567
"PITG_15472","-",643,1699
"PITG_15473","-",7047,643
"PITG_15474","-",2409,7047
"PITG_15475","-",2019,2409
"PITG_15477","-",16008,872
"PITG_15476","+",2019,872
"PITG_15478","+",16008,1273
"PITG_15479","-",2145,1273
"PITG_15480","+",2145,1539
"PITG_15483","-",15375,65751
"PITG_15481","+",1539,65751
"PITG_15486","-",570,165
"PITG_15485","+",15375,165
"PITG_15487","+",570,351
"PITG_15488","-",15194,351
"PITG_06741","+",929,5726
"PITG_23055","+",15194,124
"PITG_15490","-",1897,124
"PITG_15492","-",1481,192
"PITG_15491","+",1897,192
"PITG_15493","-",38,1481
"PITG_15494","-",4500,38
"PITG_15496","+",4500,1067
"PITG_15497","-",16232,1067
"PITG_15498","+",16232,19993
"PITG_15500","-",1309,19993
"PITG_06743","+",5726,13580
"PITG_15502","-",511,430
"PITG_15501","+",1309,430
"PITG_15503","-",252,511
"PITG_15504","+",252,140
"PITG_15505","+",140,29762
"PITG_23056","-",21948,29762
"PITG_15506","-",13843,21948
"PITG_15507","-",9065,13843
"PITG_15509","-",78579,9065
"PITG_15512","-",41268,195
"PITG_15511","+",78579,195
"PITG_06744","+",13580,6601
"PITG_15513","+",41268,39855
"PITG_21557","-",NA,6217
"PITG_21509","+",NA,311
"PITG_21510","-",27144,311
"PITG_21511","-",1187,27144
"PITG_21512","+",1187,1321
"PITG_21513","+",1321,3463
"PITG_21515","-",1000,301
"PITG_21514","+",3463,301
"PITG_06745","+",6601,19528
"PITG_06748","-",1059,19528
"PITG_21517","-",NA,172
"PITG_21516","+",1000,172
"PITG_21743","-",1728,2765
"PITG_23209","+",NA,2765
"PITG_21744","-",NA,1728
"PITG_15000","+",NA,38068
"PITG_15001","-",4616,38068
"PITG_15002","-",5667,4616
"PITG_15003","+",5667,66
"PITG_15004","-",37466,66
"PITG_15006","-",8971,37466
"PITG_15011","+",8971,89876
"PITG_15013","-",2128,89876
"PITG_15015","-",179,34880
"PITG_15014","+",2128,34880
"PITG_15016","+",179,165
"PITG_15020","-",2249,24316
"PITG_15017","+",165,24316
"PITG_15021","+",2249,1640
"PITG_15022","-",6814,1640
"PITG_15023","-",10568,6814
"PITG_06749","+",1059,35926
"PITG_15024","+",10568,85947
"PITG_23034","-",227,19
"PITG_15026","+",85947,19
"PITG_23035","-",18289,227
"PITG_15032","+",18289,44
"PITG_23036","-",20734,44
"PITG_15033","-",29697,20734
"PITG_15037","-",41450,29697
"PITG_15038","-",3419,41450
"PITG_15039","-",817,3419
"PITG_23336","-",18626,817
"PITG_06751","+",35926,26775
"PITG_15040","+",18626,753
"PITG_15041","-",1409,753
"PITG_15042","+",1409,94
"PITG_15043","+",94,708
"PITG_15044","+",708,213
"PITG_15045","+",213,136
"PITG_15046","-",437,136
"PITG_15047","-",1398,437
"PITG_15048","+",1398,3398
"PITG_06753","-",346,105
"PITG_06752","+",26775,105
"PITG_15049","+",3398,505
"PITG_15050","+",505,32
"PITG_15051","-",501,32
"PITG_15052","-",6079,501
"PITG_15053","-",193,6079
"PITG_15055","-",1280,193
"PITG_15054","+",193,1280
"PITG_15056","+",1280,15492
"PITG_15057","-",209,15492
"PITG_15058","-",1718,209
"PITG_15059","-",438,1718
"PITG_00119","+",254,17212
"PITG_00121","-",327,17212
"PITG_15060","+",438,3360
"PITG_15062","+",3360,530
"PITG_15063","-",21621,530
"PITG_15065","-",4396,21621
"PITG_15067","-",21266,4396
"PITG_15069","-",323,21266
"PITG_15070","-",111,323
"PITG_15071","-",1369,111
"PITG_15073","-",8,74
"PITG_15072","+",1369,74
"PITG_15074","-",758,8
"PITG_06756","-",2722,285
"PITG_06754","+",346,285
"PITG_15075","-",1732,758
"PITG_15076","-",988,1732
"PITG_15077","+",988,124
"PITG_15078","-",120,124
"PITG_15079","+",120,385
"PITG_15080","-",1609,385
"PITG_15081","+",1609,426
"PITG_15082","-",357,426
"PITG_15083","-",2919,357
"PITG_06755","+",285,2722
"PITG_15085","-",2562,18647
